County,2008_Tot_D,2008_IP_D,2008_IT_D,2008_Tot_C,2008_IP_C,2008_IT_C,2009_Tot_D,2009_IP_D,2009_IT_D,2009_Tot_C,2009_IP_C,2009_IT_C,2010_Tot_D,2010_IP_D,2010_IT_D,2010_Tot_C,2010_IP_C,2010_IT_C,2011_Tot_D,2011_IP_D,2011_IT_D,2011_Tot_C,2011_IP_C,2011_IT_C,2012_Tot_D,2012_IP_D,2012_IT_D,2012_Tot_C,2012_IP_C,2012_IT_C,2013_Tot_D,2013_IP_D,2013_IT_D,2013_Tot_C,2013_IP_C,2013_IT_C,2014_Tot_D,2014_IP_D,2014_IT_D,2014_Tot_C,2014_IP_C,2014_IT_C
Alachua,5717,4614,1072,5261,4144,1105,5780,4572,1163,5483,4302,1139,5122,4109,978,4554,3571,956,5036,4102,899,4635,3242,1370,4876,3909,931,4284,3389,872,5171,4051,1086,4471,3329,1128,5088,4297,765,4324,3554,753
Alameda,6011,5060,941,6784,4314,2448,6544,5432,1098,7789,5047,2729,13499,10539,2685,15951,12284,3393,12386,10257,1903,14962,11531,3206,13570,10779,2531,14512,11401,2919,13451,10252,2938,14379,10922,3277,12830,9795,2901,14186,10978,3064
Albemarle,,,,,,,,,,,,,1746,1702,43,1992,1986,6,1709,1612,97,2119,2114,5,1804,1701,102,1766,1766,0,1686,1606,80,1993,1988,5,1663,1443,220,1622,1599,23
Allen,6117,5841,24,9256,9096,54,5944,5638,23,8894,8686,35,5846,5490,42,8527,8247,28,6302,5927,86,8319,7873,247,5843,5278,259,7997,7647,221,,,,,,,,,,,,
Arapahoe,41250,25939,13346,32566,27693,3775,35899,26328,7378,29928,27432,1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baldwin,5074,4763,310,4392,4173,219,4226,3978,248,3851,3722,129,3725,3455,270,3669,3466,203,3345,3168,177,2743,2621,122,,,,,,,,,,,,,,,,,,
Bernalillo,,,,,,,,,,,,,17578,16729,846,12534,12418,116,17780,17137,643,12368,12257,111,18022,17170,852,10391,10141,250,17425,16375,1050,9039,8633,406,,,,,,
Bexar,34947,32339,2180,14195,13637,477,26599,24710,1398,9365,8985,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun,6969,5159,1733,3532,2268,1144,1773,1527,214,1458,1412,2,1837,1516,284,1480,1410,4,1784,1564,176,1138,1061,39,,,,,,,,,,,,,,,,,,
Campbell,,,,,,,,,,,,,1320,886,429,935,874,60,1466,964,502,1022,971,51,1390,932,456,1074,1030,42,,,,,,,,,,,,
Charlottesville City,1785,1737,48,2647,2639,8,1839,1789,50,2159,2157,2,,,,,,,,,,,,,,,,,,,,,,,,,1409,1409,0,1389,1389,0
Chittenden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2741,1603,1116,4764,4077,629,2823,1676,1137,5204,4408,785
Contra Costa,10209,9035,1123,11038,10182,830,10011,8864,1094,10684,10040,629,11912,9876,1954,14644,13460,1166,12905,10074,2734,15834,14131,1573,12792,9688,2954,15210,13649,1451,12468,9498,2800,13944,12323,1556,12638,9513,2978,14728,12725,1757
Cook,18125,14893,2157,22108,19788,1299,16981,12862,2650,19536,16751,1458,22905,17982,2678,26117,22231,2035,25810,20359,2558,27170,23263,2105,25372,19280,2926,25488,21214,2706,,,,,,,,,,,,
Dade,,,,,,,,,,,,,22445,21134,285,15654,15078,406,,,,,,,,,,,,,,,,,,,,,,,,
Dallas,30524,28386,1865,11280,10055,1141,29186,27399,1278,10612,9668,819,23542,22217,977,11617,10368,1070,23584,22815,586,9463,8730,617,23045,21911,618,10114,9294,727,24233,22258,1028,9964,8997,746,,,,,,
Dane,2320,1848,260,4110,3561,429,2297,1911,310,3904,3385,399,2255,1913,240,3833,3450,272,2288,1836,337,3825,3263,427,2157,1582,454,3792,3061,582,1979,1540,344,4080,3221,757,1831,1387,362,4161,3214,872
Denver,,,,,,,,,,,,,33400,25753,5480,31088,28151,1865,,,,,,,,,,,,,,,,,,,,,,,,
Douglas,,,,,,,10535,9738,454,11576,11349,69,10138,9449,369,10526,10296,82,9242,8678,195,10189,9939,43,9040,8367,230,9554,9267,69,8897,7542,840,9384,9031,88,,,,,,
Dubuque,1941,1828,45,2945,2898,20,1934,1843,57,3030,2947,49,1851,1764,46,2565,2500,50,,,,,,,,,,,,,,,,,,,,,,,,
Durham,,,,,,,4101,3951,61,3694,3509,155,3889,3782,41,3414,3207,194,3628,3485,45,3560,3463,70,3766,3603,52,4020,3944,41,3436,3300,55,4226,4145,57,3280,3097,59,3926,3865,26
Duval,13581,12088,1440,15151,14055,1083,13300,11136,2088,14388,13094,1262,12294,9862,2304,12393,10583,1770,11411,9447,1834,12258,10532,1656,9872,7625,2191,12936,10140,2775,,,,,,,,,,,,
Eagle,,,,,,,,,,,,,1952,1677,271,1234,1150,79,2004,1749,221,1261,1169,87,2089,1807,262,1334,1178,146,,,,,,,,,,,,
East Baton Rouge,,,,,,,,,,,,,69540,42880,24975,53950,36277,17179,,,,,,,,,,,,,,,,,,,,,,,,
Erie,7605,4654,1707,10136,8694,202,7836,5178,1456,11244,9656,500,7632,5506,843,10856,9376,431,7157,5368,597,10794,9021,751,6598,4792,667,10747,8683,1105,6159,4597,560,10655,8827,1044,5176,3662,577,9681,8052,856
Garfield,2194,1863,318,1305,1182,117,1928,1657,258,1322,1211,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grant,1698,1698,0,828,828,0,922,922,0,826,826,0,1005,1005,0,575,575,0,,,,,,,,,,,,,,,,,,,,,,,,
Harrison,59351,40531,18457,36175,25358,10645,57152,39718,16923,34476,25128,9192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillsborough,15306,13244,1753,21853,20962,574,14818,11906,2331,18826,17748,707,14419,10609,3149,16143,15081,520,15039,10771,3442,14504,13311,645,,,,,,,,,,,,,,,,,,
Hinds,,,,,,,,,,,,,54162,30538,15945,32974,19080,8675,,,,,,,,,,,,,,,,,,,,,,,,
Huntingdon,233,231,1,537,537,0,273,272,0,1131,1130,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King,4403,3065,1065,5643,4817,522,4798,3495,997,6565,5549,720,4442,3004,1138,5479,4601,533,4244,2835,1134,5231,4127,811,3950,2459,1265,5495,3805,1435,4356,2442,1672,5610,3540,1870,,,,,,
Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6057,5266,744,5761,5520,181,6428,5275,930,6251,5540,297
Loudon,2390,1783,572,1882,1382,492,2214,1604,565,1886,1352,516,1420,1393,0,1214,1205,0,1381,1302,0,826,790,3,1464,1014,370,1124,1053,25,,,,,,,,,,,,
Lynchburg,1644,1200,444,1382,1354,28,1391,958,433,1164,1134,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison,7336,7082,254,5067,4946,121,8028,7694,334,5313,5199,114,6801,6355,446,4415,4178,237,6826,6533,293,4064,3818,246,5964,5694,248,3660,3539,109,6016,5913,103,4003,3881,122,,,,,,
Maricopa,64629,59367,2785,38660,35193,2439,61634,55441,3307,37963,33853,2969,64370,57559,3866,39498,35160,3221,63039,56761,3371,34293,30907,2354,62979,55966,4077,33275,29801,2452,61446,51862,7075,34359,30300,3141,57814,47158,7876,25997,22498,2372
Marion,3620,1439,1724,2078,1280,503,3408,1947,1097,2111,1441,426,2692,1453,972,2088,1209,761,1906,1107,604,1367,850,408,2189,1085,875,1630,898,617,2126,1045,926,1715,1010,630,1456,648,712,1549,836,676
Mendocino,320,217,103,224,176,48,298,236,60,228,177,51,272,236,30,294,277,13,,,,,,,,,,,,,,,,,,,,,,,,
Mesa,5746,5258,406,5100,4372,694,5118,4698,331,4949,4225,678,4989,4527,367,4895,4108,743,4939,4487,357,4159,3712,413,3720,3022,602,2548,1999,488,,,,,,,,,,,,
Miami-Dade,20523,15705,147,14372,12791,38,22919,15929,241,15746,13722,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile,12657,11265,1149,7082,6306,650,11184,10255,798,5864,5498,329,11542,10505,889,6284,5833,425,9801,9074,479,4837,4572,215,9107,8459,477,5573,5269,206,7847,7215,407,3610,3334,193,7422,6549,714,2310,2194,42
Mohave,7630,6619,123,6073,5720,97,7437,6362,289,5881,5405,127,7905,6892,126,5701,5300,87,,,,,,,,,,,,,,,,,,,,,,,,
Monroe,7196,6003,770,10681,9895,59,6757,5634,758,10841,9758,223,6628,5485,802,10361,9335,387,6004,4958,727,9276,8284,323,5704,4557,802,9612,8601,485,,,,,,,,,,,,
Monterey,7067,5096,1121,7799,5047,1935,7124,5948,291,6987,5825,714,7643,6402,453,7623,6284,820,,,,,,,,,,,,,,,,,,,,,,,,
Montgomery,7963,7116,395,8203,7914,6,8262,7480,344,8003,7695,35,7606,6746,488,7420,7084,87,7806,7265,448,5978,5889,42,7581,6589,966,5215,4981,228,,,,,,,,,,,,
Moore,2264,2264,0,1942,1942,0,2413,2413,0,2416,2416,0,2351,2351,0,1958,1958,0,2153,2153,0,1656,1656,0,,,,,,,,,,,,,,,,,,
Multnomah,15849,12839,1833,25626,21398,2525,15198,11749,2198,24771,20729,2433,,,,,,,,,,,,,,,,,,,,,,,,,14313,9164,4336,16790,12071,4055
New York,20261,15035,3666,42379,33704,7831,19653,14043,3941,45441,33567,10963,18847,13699,3742,37617,28263,8429,18383,13799,3261,34057,25324,7886,16676,13083,2673,31436,23609,7297,20661,14532,5278,40387,29991,9906,24716,15565,8297,41274,30217,10512
Newport,,,,,,,,,,,,,3800,3747,53,4256,4255,1,,,,,,,,,,,,,,,,,,,,,,,,
Newport News City,3982,3974,8,4523,4522,0,3821,3782,39,4306,4306,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakland,4319,3786,501,5242,5217,0,3862,2558,1158,5092,4346,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oconee,2969,2969,0,2470,2470,0,2778,2778,0,2680,2680,0,2753,2753,0,2455,2455,0,2444,2444,0,1951,1951,0,2600,2600,0,1828,1828,0,,,,,,,,,,,,
Orleans,72007,44129,26916,49913,34430,15210,71804,45685,25401,52446,39505,12785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia,2409,1739,487,2690,2092,483,3069,2100,902,4537,1971,2526,8998,8981,17,18489,18460,29,,,,,,,,,,,,,,,,,,,,,,,,
Richmond,4333,3346,986,3077,2333,744,3996,2954,1034,3081,2065,1015,4169,3056,1105,3449,2092,1354,,,,,,,,,,,,,16136,13507,2620,12157,9976,2180,,,,,,
Richmond City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13954,11559,2395,10210,8091,2119
Rockingham,1453,1419,34,2308,2308,0,1445,1347,27,2460,2392,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rutherford,2787,2540,242,1854,1787,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt Lake,43725,37304,4783,45608,41157,3675,41933,36182,4009,44907,40169,3820,41841,36014,4151,40689,36899,3130,40571,865,2591,40422,895,2078,38509,751,2585,34725,1056,2214,37338,580,3841,33351,898,2974,37615,1150,4443,34475,1423,4433
San Francisco,3635,2260,1217,7559,4588,2833,3872,2427,1267,8188,5176,2853,4351,2796,1379,7256,4419,2717,5325,2874,2298,6505,3837,2538,6494,3457,2916,7460,3679,3683,8249,3800,4351,7176,3586,3494,7569,3605,3882,6857,3478,3297
San Joaquin,1333,1060,262,1919,1905,6,1291,929,354,1571,1560,7,1371,1167,199,1587,1584,0,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,12352,10055,829,18645,17185,656,13360,9809,419,18583,16446,592,12294,10132,555,18640,15126,2639,12660,10344,829,18995,14607,3565,12932,10436,1191,17920,13710,3599,11431,9342,854,17717,13921,3175,11383,8941,1054,18203,13606,4027
Santa Fe,,,,,,,,,,,,,,,,,,,,,,,,,9959,6040,3681,4476,3101,1290,,,,,,,9477,5272,3971,4274,2975,1242
Sherwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14770,10021,3884,16837,12796,3290,,,,,,
Sonoma,2020,1589,419,3098,3025,58,2318,1767,533,3541,3440,88,2492,1687,757,3258,2788,428,,,,,,,,,,,,,,,,,,,,,,,,
Spokane,8661,7159,770,11685,10068,1113,8308,6815,954,11953,10264,1386,8072,6485,1098,11531,9557,1679,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucie,3155,1534,1591,4714,2144,2538,2884,1095,1752,4283,1745,2491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tompkins,849,803,35,1577,1577,0,532,453,73,1602,1599,0,670,603,58,1520,1507,9,547,511,23,1496,1478,9,547,465,78,1306,1270,32,527,458,62,1310,1302,0,458,397,55,1340,1333,4
Travis,,,,,,,,,,,,,,,,,,,15159,11260,3832,15923,12735,3159,15649,11675,3920,21159,16073,5070,15927,12050,3811,18716,14393,4296,16019,11821,4115,19668,14683,4963
Tuscaloosa,5936,5122,814,5543,3486,712,5701,4943,758,4286,3652,634,4709,4446,263,3167,2950,217,,,,,,,,,,,,,,,,,,,,,,,,
Vigo,2069,1188,880,1221,1125,96,2124,1321,802,1417,1291,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,,,,,,,,,,,,,15953,11410,3478,23588,19615,2817,15514,10859,3563,20567,16984,2401,15328,10575,3723,18383,14732,2706,,,,,,,,,,,,
Washoe,10646,8419,2029,10576,7908,2593,10310,7993,2192,10691,7313,3336,11324,8771,2463,11206,7780,3401,12108,9265,2744,10761,7127,3620,12806,9647,3035,10032,6357,3643,12762,9290,3320,10179,5952,4170,13058,9561,3333,8983,5306,3614
Washtenaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2673,1793,540,3473,3143,16
Wyandotte,4065,3384,674,2598,1953,644,4197,2235,1957,2520,1337,1180,4296,2285,2011,2276,1257,1019,1875,150,1725,993,254,739,1893,1269,624,847,580,267,,,,,,,,,,,,
